['UID: ', ['0x4', '0xa1', '0xe2', '0xba', '0xa3', '0xf', '0x90'], 57.3, '2025-06-18 15:25:37.454749']
['UID: ', ['0x4', '0x82', '0xd8', '0xba', '0xa3', '0xf', '0x90'], 57.3, '2025-06-19 10:15:16.230175']
['UID: ', ['0x4', '0xfc', '0xe5', '0xba', '0xa3', '0xf', '0x90'], 56.8, '2025-06-19 10:19:09.390762']
['UID: ', ['0x4', '0xa1', '0xe2', '0xba', '0xa3', '0xf', '0x90'], 55.7, '2025-06-19 10:30:48.746186']
['UID: ', ['0x4', '0xd3', '0xad', '0xba', '0xa3', '0xf', '0x90'], 56.2, '2025-06-19 10:31:16.533679']
['UID: ', ['0x4', '0x2c', '0xf0', '0xba', '0xa3', '0xf', '0x91'], 56.2, '2025-06-19 10:33:36.044038']
['UID: ', ['0x4', '0xfb', '0xed', '0xba', '0xa3', '0xf', '0x90'], 55.7, '2025-06-19 10:58:17.382608']
['UID: ', ['0x4', '0xd3', '0xad', '0xba', '0xa3', '0xf', '0x90'], 56.8, '2025-06-19 12:00:51.680154']
['UID: ', ['0x4', '0xd3', '0xad', '0xba', '0xa3', '0xf', '0x90'], 57.3, '2025-06-19 12:22:38.629892']
['UID: ', ['0x4', '0x2c', '0xf0', '0xba', '0xa3', '0xf', '0x91'], 57.3, '2025-06-19 13:31:08.762250']
['UID: ', ['0x4', '0xfc', '0xe5', '0xba', '0xa3', '0xf', '0x90'], 57.8, '2025-06-19 13:31:39.357809']
['UID: ', ['0x4', '0xfb', '0xed', '0xba', '0xa3', '0xf', '0x90'], 57.3, '2025-06-19 13:31:48.467147']
['UID: ', ['0x4', '0x82', '0xd8', '0xba', '0xa3', '0xf', '0x90'], 57.8, '2025-06-19 13:33:47.013166']
['UID: ', ['0x4', '0xa1', '0xe2', '0xba', '0xa3', '0xf', '0x90'], 57.8, '2025-06-19 13:33:50.328646']
['UID: ', ['0x4', '0xfb', '0xed', '0xba', '0xa3', '0xf', '0x90'], 57.3, '2025-06-19 13:50:43.510968']
['UID: ', ['0x4', '0x2c', '0xf0', '0xba', '0xa3', '0xf', '0x91'], 57.8, '2025-06-19 13:55:12.599553']
['UID: ', ['0x4', '0x82', '0xd8', '0xba', '0xa3', '0xf', '0x90'], 57.8, '2025-06-19 13:57:21.024410']
['UID: ', ['0x4', '0xa1', '0xe2', '0xba', '0xa3', '0xf', '0x90'], 58.4, '2025-06-19 13:57:24.331141']
['UID: ', ['0x4', '0xfb', '0xed', '0xba', '0xa3', '0xf', '0x90'], 57.3, '2025-06-19 17:06:52.887455']
['UID: ', ['0x4', '0xfc', '0xe5', '0xba', '0xa3', '0xf', '0x90'], 58.4, '2025-06-19 17:07:02.320621']
['UID: ', ['0x4', '0x82', '0xd8', '0xba', '0xa3', '0xf', '0x90'], 57.8, '2025-06-19 17:07:07.102686']
['UID: ', ['0x4', '0xa1', '0xe2', '0xba', '0xa3', '0xf', '0x90'], 58.4, '2025-06-19 17:07:23.336261']
['UID: ', ['0x4', '0x2c', '0xf0', '0xba', '0xa3', '0xf', '0x91'], 57.8, '2025-06-19 17:07:35.879672']
['UID: ', ['0x4', '0xd3', '0xad', '0xba', '0xa3', '0xf', '0x90'], 57.8, '2025-06-19 17:07:41.355338']
['UID: ', ['0x4', '0x82', '0xd8', '0xba', '0xa3', '0xf', '0x90'], 57.3, '2025-06-20 10:20:13.543077']
['UID: ', ['0x4', '0xfc', '0xe5', '0xba', '0xa3', '0xf', '0x90'], 57.3, '2025-06-20 10:20:16.489573']
['UID: ', ['0x4', '0xa1', '0xe2', '0xba', '0xa3', '0xf', '0x90'], 57.3, '2025-06-20 10:31:09.228184']
['UID: ', ['0x4', '0xd3', '0xad', '0xba', '0xa3', '0xf', '0x90'], 57.3, '2025-06-20 10:34:55.003545']
['UID: ', ['0x4', '0x2c', '0xf0', '0xba', '0xa3', '0xf', '0x91'], 56.2, '2025-06-20 10:41:53.070279']
['UID: ', ['0x4', '0xfb', '0xed', '0xba', '0xa3', '0xf', '0x90'], 56.8, '2025-06-20 11:00:05.885254']
['UID: ', ['0x4', '0xd3', '0xad', '0xba', '0xa3', '0xf', '0x90'], 56.8, '2025-06-20 12:00:24.062235']
['UID: ', ['0x4', '0xd3', '0xad', '0xba', '0xa3', '0xf', '0x90'], 56.2, '2025-06-20 12:20:43.283966']
